Daftar Fitur,Enterprise Edition,Community Edition
Harga,Berbayar,Gratis
Tim Support,"Ada, resmi dari Docker.inc",Tidak ada
Rilis,Stable rilis saja,Edge dan Stable
Fitur tambahan,"1. Partner resmi tersertifikasi
2. Fitur kelas enterpreise lain seperti :
- Layer 7 Proxy
- Load balancer
- dll",-
