Property,Kelebihan,Kekurangan
Volume,"• Tidak tergantung letak persis dari file/folder Host. Sehingga cocok untuk kebutuhan scale dan Fail over.		
• Lebih mudah untuk kebutuhan backup data dan migrasi.
• Lebih cocok untuk production.
• Lebih cocok untuk mounting data yang akan terus tumbuh besar, misalnya database, penyimpanan data user, penyimpanan data web app.","• Relatif lebih lambat, karena harus ada pemrosesan lebih banyak (melewati sistem Docker dulu)
• Relatif sedikit rumit dalam penggunaan karena perlu belajar volume terlebih dahulu."
Bind Mount,"• Relatif lebih cepat, karena langsung dari filesystem host.	
• Relatif lebih sederhana secara penggunaan. Tinggal mount suatu file/folder, selesai.
• Lebih cocok untuk local development.
• Lebih cocok untuk mounting file-file kecil atau file-file konfigurasi.Misalnya mounting /etc/nginx/nginx.conf saja atau /etc/php/php.ini saja.","• Sangat tergantung dengan letak persis file/folder dari Host. Misal folder /home/data di host A pasti tidak sama dengan host B. Maka data tentunya perlu disinkronkan dulu antara host A dan Host B yang tentunya cukup repot dan bisa terjadi banyak error. Tidak cocok untuk kebutuhan scale dan Fail over.
	"
