Name,Created,Tags
1. Terraform,"July 25, 2022 3:06 PM",
2. Setup dan Installasi Terrafom,"July 25, 2022 3:07 PM",
3. File Structure,"July 25, 2022 3:12 PM",
4. Konfigurasi Terraform,"July 25, 2022 3:21 PM",
5. Create EC2 dengan terraform (Multiple Server),"July 25, 2022 3:26 PM",
6. Terraform Backend,"July 25, 2022 3:27 PM",
7. Summary,"July 25, 2022 3:30 PM",
